Sector,State/UT,Food_Bev_Tobacco,Fuel_Light,Clothing_Bedding_Footwear,Housing,Miscellaneous,Base_Year,Source
Rural,All India,59.31,10.42,5.36,0.0,24.91,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Andhra Pradesh,60.5,8.84,4.92,0.0,25.75,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Arunachal Pradesh,57.84,14.46,9.8,0.0,17.9,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Assam,71.2,10.2,5.17,0.0,13.44,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Bihar,67.67,11.41,5.55,0.0,15.37,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Chhattisgarh,60.37,11.05,5.18,0.0,23.39,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Goa,52.38,10.03,4.4,0.0,33.18,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Gujarat,63.37,10.93,3.39,0.0,22.3,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Haryana,53.34,10.94,6.18,0.0,29.54,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Himachal Pradesh,54.51,9.32,7.23,0.0,28.95,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Jammu & Kashmir,58.25,7.95,10.3,0.0,23.5,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Jharkhand,66.03,11.65,5.76,0.0,16.55,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Karnataka,60.98,11.29,4.09,0.0,23.64,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Kerala,48.81,7.44,5.35,0.0,38.39,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Madhya Pradesh,57.76,12.22,6.61,0.0,23.41,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Maharashtra,56.23,11.19,4.02,0.0,28.57,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Manipur,57.94,13.3,4.98,0.0,23.78,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Meghalaya,64.7,8.8,7.59,0.0,18.91,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Mizoram,62.73,11.83,6.11,0.0,19.33,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Nagaland,59.78,9.84,8.24,0.0,22.13,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Odisha,65.02,12.01,3.94,0.0,19.04,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Punjab,52.11,13.19,4.37,0.0,30.33,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Rajasthan,60.61,10.15,6.65,0.0,22.58,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Sikkim,59.7,11.89,8.17,0.0,20.24,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Tamil Nadu,56.3,9.2,3.57,0.0,30.93,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Telangana,60.5,8.84,4.92,0.0,25.75,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Tripura,68.24,9.89,4.01,0.0,17.86,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Uttarakhand,57.38,12.05,5.14,0.0,25.43,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Uttar Pradesh,57.54,9.98,6.19,0.0,26.29,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,West Bengal,61.62,10.27,6.07,0.0,22.04,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,A&N Islands,57.45,6.28,5.78,0.0,30.49,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Chandigarh,63.43,14.53,1.23,0.0,20.81,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,D&N Haveli & D&D,58.9,9.33,3.67,0.0,28.1,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Delhi (NCT),52.48,16.49,1.09,0.0,29.93,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Lakshadweep,50.03,6.95,20.51,0.0,22.51,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Rural,Puducherry,54.57,9.63,5.23,0.0,30.56,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Urban,All India,37.15,8.4,3.91,22.53,28.0,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Urban,Andhra Pradesh,39.59,7.86,4.26,19.73,28.55,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Urban,Arunachal Pradesh,52.01,10.01,6.92,9.45,21.6,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Urban,Assam,45.02,8.55,2.55,20.13,23.75,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Urban,Bihar,45.14,9.39,3.35,20.23,21.9,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
Urban,Chhattisgarh,35.28,8.02,3.51,23.6,29.59,2012=100,MoSPI CPI Manual / NSS 61st Round (2004-05)
