Year,Month,State,Group,Sub Group,Description,Rural,Urban,Combined,Status
2011,January,ALL India,1.0,,Food and beverages,91.6,93.6,92.3,F
2011,January,ALL India,2.0,,Pan; tobacco; and intoxicants,82.0,83.4,82.4,F
2011,January,ALL India,3.0,,Clothing and footwear,82.9,82.7,82.8,F
2011,January,ALL India,4.0,,Housing,,87.8,87.8,F
2011,January,ALL India,5.0,,Fuel and light,84.8,88.6,86.2,F
2011,January,ALL India,6.0,,Miscellaneous,87.9,89.2,88.5,F
2011,January,ALL India,,,General Index (All Groups),89.1,90.0,89.5,F
2011,January,ALL India,,,Consumer Food Price Index,92.6,95.6,93.6,F
2011,January,Andaman and Nicobar Islands,1.0,,Food and beverages,100.0,91.5,96.5,F
2011,January,Andaman and Nicobar Islands,2.0,,Pan; tobacco; and intoxicants,83.5,84.3,83.7,F
2011,January,Andaman and Nicobar Islands,3.0,,Clothing and footwear,92.8,78.7,86.4,F
2011,January,Andaman and Nicobar Islands,4.0,,Housing,,86.1,,F
2011,January,Andaman and Nicobar Islands,5.0,,Fuel and light,149.3,112.2,133.8,F
2011,January,Andaman and Nicobar Islands,6.0,,Miscellaneous,90.0,88.9,89.4,F
2011,January,Andaman and Nicobar Islands,,,General Index (All Groups),97.7,89.4,93.5,F
2011,January,Andhra Pradesh,1.0,,Food and beverages,94.6,96.3,95.1,F
2011,January,Andhra Pradesh,2.0,,Pan; tobacco; and intoxicants,89.2,100.4,91.5,F
2011,January,Andhra Pradesh,3.0,,Clothing and footwear,81.5,79.8,80.9,F
2011,January,Andhra Pradesh,4.0,,Housing,,82.6,,F
2011,January,Andhra Pradesh,5.0,,Fuel and light,85.5,92.7,87.9,F
2011,January,Andhra Pradesh,6.0,,Miscellaneous,88.0,87.0,87.6,F
2011,January,Andhra Pradesh,,,General Index (All Groups),90.9,90.0,90.6,F
2011,January,Arunachal Pradesh,1.0,,Food and beverages,88.8,,,F
2011,January,Arunachal Pradesh,2.0,,Pan; tobacco; and intoxicants,78.2,,,F
2011,January,Arunachal Pradesh,3.0,,Clothing and footwear,85.9,,,F
2011,January,Arunachal Pradesh,5.0,,Fuel and light,84.2,,,F
2011,January,Arunachal Pradesh,6.0,,Miscellaneous,87.6,,,F
2011,January,Arunachal Pradesh,,,General Index (All Groups),87.2,,,F
2011,January,Assam,1.0,,Food and beverages,87.1,95.3,88.3,F
2011,January,Assam,2.0,,Pan; tobacco; and intoxicants,82.7,81.3,82.5,F
2011,January,Assam,3.0,,Clothing and footwear,86.9,83.7,86.4,F
2011,January,Assam,4.0,,Housing,,85.4,,F
2011,January,Assam,5.0,,Fuel and light,75.6,90.5,77.9,F
2011,January,Assam,6.0,,Miscellaneous,88.2,90.7,88.9,F
2011,January,Assam,,,General Index (All Groups),86.1,91.0,87.1,F
2011,January,Bihar,1.0,,Food and beverages,91.1,96.4,91.7,F
2011,January,Bihar,2.0,,Pan; tobacco; and intoxicants,83.2,88.9,83.6,F
2011,January,Bihar,3.0,,Clothing and footwear,83.3,81.3,83.1,F
2011,January,Bihar,4.0,,Housing,,85.9,,F
2011,January,Bihar,5.0,,Fuel and light,82.9,85.4,83.2,F
2011,January,Bihar,6.0,,Miscellaneous,88.6,91.3,89.1,F
2011,January,Bihar,,,General Index (All Groups),89.1,91.5,89.5,F
2011,January,Chandigarh,1.0,,Food and beverages,90.7,92.8,92.6,F
2011,January,Chandigarh,2.0,,Pan; tobacco; and intoxicants,138.5,78.5,86.9,F
2011,January,Chandigarh,3.0,,Clothing and footwear,85.0,82.2,82.4,F
2011,January,Chandigarh,4.0,,Housing,,87.0,,F
2011,January,Chandigarh,5.0,,Fuel and light,90.3,76.9,78.3,F
2011,January,Chandigarh,6.0,,Miscellaneous,93.4,87.9,88.2,F
2011,January,Chandigarh,,,General Index (All Groups),92.0,88.4,88.6,F
2011,January,Chhattisgarh,1.0,,Food and beverages,96.4,100.7,97.7,F
