"NumYear","TotalRev","CentralTaxes","Grants","CentralTransfers","DepRatio","OwnTax","NonTax","RevExp","CapOutlay","TotalNetCapitalExp","Interest","OwnRev","TotalExpenditureNet","OwnRev_RevExp","OwnTax_OwnRev","CapOutlay_TotalExp","CapOutlay_RevExp","Interest_RevExp","CommittedExp_RevReceipt","Salary_RevReceipt","Pension_RevReceipt","Interest_RevReceipt"
1990,358.22,82.08,232.65,314.73,87.85941600134,2.65,40.84,258.14,124.51,139.64,15.56,43.49,397.78,16.8474471217169,6.09335479420556,31.3012217808839,48.2335166963663,6.02773688696056,NA,NA,NA,NA
1991,445.72,97.42,295,392.42,88.041819976667,4.09,49.21,287.53,136.6,155.82,21.37,53.3,443.35,18.5371961186659,7.67354596622889,30.8108717717379,47.5080861127535,7.43226793725872,NA,NA,NA,NA
1992,503.18,115.92,328.97,444.89,88.41567629874,4.45,53.84,340.13,152.22,162.92,21.83,58.29,503.05,17.1375650486579,7.63424258020244,30.2594175529271,44.7534766118837,6.41813424278952,NA,NA,NA,NA
1993,546.42,117.9,339.72,457.62,83.7487646865049,3.63,85.17,398.88,162.89,176.02,27.53,88.8,574.9,22.2623345367028,4.08783783783784,28.3336232388241,40.8368431608504,6.90182511030886,NA,NA,NA,NA
1994,605.46,131.85,387.47,519.32,85.772800845638,5.6,80.54,438.88,239.81,251.61,34.53,86.14,690.49,19.6272329566168,6.50104481077316,34.7304088400991,54.6413598250091,7.86775428363106,NA,NA,NA,NA
1995,753.77,124.54,540.48,665.02,88.2258513870279,7.67,81.08,507.27,286.25,296.02,42.35,88.75,803.29,17.4956137757013,8.64225352112676,35.6347022868453,56.4295148540225,8.34861119325014,NA,NA,NA,NA
1996,808.97,179.05,556.41,735.46,90.9131364574706,8.53,64.98,602.23,276.93,288.23,53.26,73.51,890.46,12.2062999186357,11.6038634199429,31.0996563573883,45.9840924563705,8.8437972203311,NA,NA,NA,NA
1997,837.19,243.85,528.78,772.63,92.2884888734935,9.83,54.73,664.89,293.57,306.91,59.85,64.56,971.8,9.70987682172991,15.22614622057,30.2088907182548,44.153168193235,9.00148896809999,NA,NA,NA,NA
1998,923.57,268.86,578.88,847.74,91.7894691252423,11.29,64.54,746.5,232.35,257.15,71.21,75.83,1003.65,10.1580709979906,14.8885665303969,23.1505006725452,31.1252511721366,9.53918285331547,NA,NA,NA,NA
1999,1019.99,340.77,598.34,939.11,92.0705104952009,13.87,67.01,821.02,258.13,277.14,79.8,80.88,1098.16,9.85116075126063,17.148862512364,23.5056822320973,31.4401598012229,9.71961706170373,NA,NA,NA,NA
2000,960.39,115.67,760.33,876,91.2129447411989,20.69,63.7,908.45,260.87,0,120.68,84.39,908.45,9.28944906158842,24.517122881858,28.7159447410424,28.7159447410424,13.2841653365623,NA,NA,NA,NA
2001,1057.84,60.18,892.57,952.75,90.0656053845572,34.18,70.91,1029.82,301.5,0,108.99,105.09,1029.82,10.2046959662854,32.5245028071177,29.2769610223146,29.2769610223146,10.583402924783,NA,NA,NA,NA
2002,1108.29,122.4,873.05,995.45,89.8185492966642,36.54,76.3,1031.39,290.06,0,125.4,112.84,1031.39,10.940575340075,32.3821339950372,28.1232123638973,28.1232123638973,12.1583494119586,NA,NA,NA,NA
2003,1576.36,161.21,1251.46,1412.67,89.6159506711665,43.12,120.57,1391.89,433.36,0,141.92,163.69,1391.89,11.7602684120153,26.3424766326593,31.1346442606815,31.1346442606815,10.1962080336808,NA,NA,NA,NA
2004,1501.84,192.57,1089.58,1282.15,85.3719437490012,49.49,170.2,1509.64,375.07,575.52,146.9,219.69,2085.16,14.5524760870141,22.5271974145387,17.9875884824186,24.8449961580244,9.73079674624414,NA,NA,NA,NA
2005,1849.41,272.53,1312.81,1585.34,85.7213922277916,61.71,202.36,1667.64,437.62,769.32,156.45,264.07,2436.96,15.8349523878055,23.3688037262847,17.9576193290001,26.2418747451488,9.38152119162409,NA,NA,NA,NA
