"Check","Result","Status"
"Arunachal RBI account coverage","1990-1991 to 2023-2024","PASS"
"Budget head available: Total: TOTAL REVENUE (I+II)","AR=TRUE; all-state=TRUE","PASS"
"Budget head available: I.A: State's Own Tax Revenue (1 to 3)","AR=TRUE; all-state=TRUE","PASS"
"Budget head available: I.B: Share in Central Taxes (i to ix)","AR=TRUE; all-state=TRUE","PASS"
"Budget head available: II.D: Grants from the Centre (1 to 7)","AR=TRUE; all-state=TRUE","PASS"
"Budget head available: Total: TOTAL EXPENDITURE (I+II+III)","AR=TRUE; all-state=TRUE","PASS"
"Budget head available: I: Total Capital Outlay (1 + 2)","AR=TRUE; all-state=TRUE","PASS"
"Budget head available: Total$: TOTAL CAPITAL DISBURSEMENTS (Excluding Public Accounts)","AR=TRUE; all-state=TRUE","PASS"
"2026-27 GSDP denominator","41314 crore; cross-checked against Budget at a Glance text value 41,314 crore","PASS"
"Comparator GSDP coverage for 2023-24","all six states available","PASS"
