"FY","FQ","H_infl","C_infl","F_infl","HC_gap","Driver"
2012,3,12.87,9.55,14.99,3.32,"Supply-driven (food/fuel)"
2012,4,13.05,9.42,15.08,3.62,"Supply-driven (food/fuel)"
2014,4,8.19,5.76,9.27,2.42,"Supply-driven (food/fuel)"
2016,4,3.67,6.29,0.85,-2.62,"Demand-driven"
2017,1,2.69,5.75,-0.41,-3.05,"Demand-driven"
2018,2,10.6,6.59,12.63,4.01,"Supply-driven (food/fuel)"
2018,4,7.39,11.32,3.58,-3.92,"Demand-driven"
2019,1,4.33,9.26,-0.53,-4.93,"Demand-driven"
2019,2,0.3,6.41,-4.93,-6.11,"Demand-driven"
2019,3,-2.15,1.2,-4.97,-3.35,"Demand-driven"
2020,2,3.19,-0.38,6.43,3.57,"Supply-driven (food/fuel)"
2020,3,4.2,-0.52,8.43,4.72,"Supply-driven (food/fuel)"
